Country,Phase 1,Phase 2,Phase 3,Phase 4,inc1,inc2,inc3,inc4,inc5,inc6,inc7,inc8,inc9,inc10,inc11,inc12
Scotland,29/05/2020,18/06/2020,10/07/2020,,24.03.2020,27/07/2020,15.11.2020,22.02.2021,08.05.2021,02.08.2021,18.10.2021,03.12.2021,06.01.2022,24.01.2022,24.03.2022,18.04.2022
England,13/05/2020,15/06/2020,15/06/2020,,24.03.2020,18/08/2020,15.11.2020,08.03.2021,08.05.2021,02.08.2021,18.10.2021,03.12.2021,06.01.2022,24.01.2022,24.03.2022,18.04.2022
Wales,01/06/2020,22/06/2020,29/06/2020,,24.03.2020,18/08/2020,15.11.2020,22.02.2021,08.05.2021,02.08.2021,18.10.2021,03.12.2021,06.01.2022,24.01.2022,24.03.2022,18.04.2022
NI,18/05/2020,08/06/2020,08/06/2020,,24.03.2020,18/08/2020,15.11.2020,08.03.2021,08.05.2021,02.08.2021,18.10.2021,03.12.2021,06.01.2022,24.01.2022,24.03.2022,18.04.2022
