fit
0.049964586
0.177624148
0.220566072
0.191707955
0.139757711
0.091767962
0.056220742
0.032785287
0.018426382
0.010063923
0.005372354
0.002814808
0.001452044
0.000739268
0.000372164
0.000185538
9.17E-05
4.50E-05
2.19E-05
1.06E-05
5.12E-06
2.45E-06
1.17E-06
5.57E-07
2.64E-07
1.25E-07
5.86E-08
2.75E-08
1.29E-08
6.01E-09
2.80E-09
1.30E-09
6.03E-10
2.79E-10
1.29E-10
5.95E-11
2.74E-11
1.26E-11
5.79E-12
2.65E-12
1.21E-12
5.55E-13
2.54E-13
1.16E-13
5.27E-14
2.41E-14
1.09E-14
5.00E-15
2.22E-15
9.99E-16
5.55E-16
1.11E-16
1.11E-16
1.11E-16
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
